CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"950","3",Brooklyn,"095000","3095000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047095000","4318",7974.17471824000,2612150.90558000002,Brooklyn,"36047095000","3170",1400000US36047095000,"Census Tract 950, Kings County, New York","93910400","14999172"
"956","3",Brooklyn,"095600","3095600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047095600","4318",8009.83316980000,2557814.04938000022,Brooklyn,"36047095600","4391",1400000US36047095600,"Census Tract 956, Kings County, New York","133455200","23250864"
"966","3",Brooklyn,"096600","3096600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047096600","4318",6518.29101130000,1950813.58843000000,Brooklyn,"36047096600","2353",1400000US36047096600,"Census Tract 966, Kings County, New York","58651900","9512587"
"974","3",Brooklyn,"097400","3097400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047097400","4318",7198.09557528000,2712076.61346000014,Brooklyn,"36047097400","2911",1400000US36047097400,"Census Tract 974, Kings County, New York","68603800","13980757"
"986","3",Brooklyn,"098600","3098600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047098600","4318",5278.87711560000,1677791.73109999998,Brooklyn,"36047098600","2814",1400000US36047098600,"Census Tract 986, Kings County, New York","86481600","18574642"
"988","3",Brooklyn,"098800","3098800",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047098800","4318",5359.19782411000,1743233.07517999993,Brooklyn,"36047098800","3083",1400000US36047098800,"Census Tract 988, Kings County, New York","94667600","17378628"
"990","3",Brooklyn,"099000","3099000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047099000","4318",5378.75402937000,1762100.75514000002,Brooklyn,"36047099000","1652",1400000US36047099000,"Census Tract 990, Kings County, New York","52381900","11764470"
"992","3",Brooklyn,"099200","3099200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047099200","4318",5262.82478666000,1448961.15207999991,Brooklyn,"36047099200","2056",1400000US36047099200,"Census Tract 992, Kings County, New York","71456000","16925713"
"1010","3",Brooklyn,"101000","3101000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101000","4318",5605.21554009000,1844400.80373999989,Brooklyn,"36047101000","2605",1400000US36047101000,"Census Tract 1010, Kings County, New York","72121800","13284626"
"1012","3",Brooklyn,"101200","3101200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047101200","4318",5338.74337485000,1730658.08009000006,Brooklyn,"36047101200","2115",1400000US36047101200,"Census Tract 1012, Kings County, New York","80230700","14027159"
