geoid,ctname,agg_income,agg_income_m
1400000US36005022000,"Census Tract 220, Bronx County, New York",44341900,21477605
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",57431800,16682397
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",78814800,14003236
1400000US36005022200,"Census Tract 222, Bronx County, New York",60402900,9375311
1400000US36005022300,"Census Tract 223, Bronx County, New York",78779400,14504523
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",74856800,16887302
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",95019400,16059984
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",152413600,32387412
1400000US36005022500,"Census Tract 225, Bronx County, New York",164113200,68981749
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",95574800,22252484
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",25164200,9744550
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",44339500,8461833
1400000US36005022800,"Census Tract 228, Bronx County, New York",211187800,59288940
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",105063900,17325572
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",70086900,30254705
1400000US36005023000,"Census Tract 230, Bronx County, New York",60589500,13652021
1400000US36005023100,"Census Tract 231, Bronx County, New York",20974000,5539601
1400000US36005023200,"Census Tract 232, Bronx County, New York",57775900,14903868
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",81597600,18087556
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",54808500,10234853
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",45831800,13366134
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",94790000,30378327
1400000US36005023600,"Census Tract 236, Bronx County, New York",33584500,10969685
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",23550400,10598292
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",58818300,10959356
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",65003300,23716520
1400000US36005023800,"Census Tract 238, Bronx County, New York",58884300,9663587
1400000US36005023900,"Census Tract 239, Bronx County, New York",109200500,23443758
1400000US36005024000,"Census Tract 240, Bronx County, New York",122460300,23410090
1400000US36005024100,"Census Tract 241, Bronx County, New York",110781800,17931427
1400000US36005024300,"Census Tract 243, Bronx County, New York",89224600,14971795
1400000US36005024400,"Census Tract 244, Bronx County, New York",76074100,17123882
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",64466400,12120004
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",80586100,18524302
1400000US36005024600,"Census Tract 246, Bronx County, New York",65720000,18222458
1400000US36005024700,"Census Tract 247, Bronx County, New York",50153100,10080759
1400000US36005024800,"Census Tract 248, Bronx County, New York",93481100,14015959
1400000US36005024900,"Census Tract 249, Bronx County, New York", ,**
1400000US36005025000,"Census Tract 250, Bronx County, New York",99729200,25622121
1400000US36005025100,"Census Tract 251, Bronx County, New York",142472400,33594176
1400000US36005025200,"Census Tract 252, Bronx County, New York",83756100,12643410
1400000US36005025300,"Census Tract 253, Bronx County, New York",92954700,20860135
1400000US36005025400,"Census Tract 254, Bronx County, New York",77961300,16833968
1400000US36005025500,"Census Tract 255, Bronx County, New York",106981300,22830840
1400000US36005025600,"Census Tract 256, Bronx County, New York",40992400,8693655
1400000US36005025700,"Census Tract 257, Bronx County, New York",39611400,10036811
1400000US36005026100,"Census Tract 261, Bronx County, New York",80922800,19408485
1400000US36005026300,"Census Tract 263, Bronx County, New York",127076900,24686966
1400000US36005026400,"Census Tract 264, Bronx County, New York",208766600,65406522
1400000US36005026500,"Census Tract 265, Bronx County, New York",130733700,33919658
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",90448400,13625038
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",132030100,24291252
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",69557400,15588801
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",175636900,76552050
1400000US36005026900,"Census Tract 269, Bronx County, New York",87315300,17065903
1400000US36005027300,"Census Tract 273, Bronx County, New York",182607900,48889701
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",198979500,31083792
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",142114600,39087096
1400000US36005027600,"Census Tract 276, Bronx County, New York",460400,406027
1400000US36005027700,"Census Tract 277, Bronx County, New York",88761200,14960993
1400000US36005027900,"Census Tract 279, Bronx County, New York",244132500,42900944
1400000US36005028100,"Census Tract 281, Bronx County, New York",137259600,20895704
1400000US36005028300,"Census Tract 283, Bronx County, New York",49754800,13139586
1400000US36005028400,"Census Tract 284, Bronx County, New York", ,**
1400000US36005028500,"Census Tract 285, Bronx County, New York",130494200,22070855
1400000US36005028600,"Census Tract 286, Bronx County, New York",39905600,7752423
1400000US36005028700,"Census Tract 287, Bronx County, New York",109370500,20600547
1400000US36005028800,"Census Tract 288, Bronx County, New York",123217800,33050771
1400000US36005028900,"Census Tract 289, Bronx County, New York",140387300,32357450
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",165286900,32297649
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",455990800,84609368
1400000US36005029500,"Census Tract 295, Bronx County, New York",234421400,35937838
1400000US36005029600,"Census Tract 296, Bronx County, New York",70505700,21798726
1400000US36005029700,"Census Tract 297, Bronx County, New York",234934600,32046336
1400000US36005030000,"Census Tract 300, Bronx County, New York",226589300,40657543
1400000US36005030100,"Census Tract 301, Bronx County, New York",80178200,21109961
1400000US36005030201,"Census Tract 302.01, Bronx County, New York",121475000,21951083
1400000US36005030202,"Census Tract 302.02, Bronx County, New York",161053200,26846892
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",419479900,87522811
1400000US36005030900,"Census Tract 309, Bronx County, New York",239850300,41425458
1400000US36005031000,"Census Tract 310, Bronx County, New York",158131800,34047898
1400000US36005031200,"Census Tract 312, Bronx County, New York",72085900,13346507
1400000US36005031400,"Census Tract 314, Bronx County, New York",70120900,12457572
1400000US36005031600,"Census Tract 316, Bronx County, New York",75032300,14935917
1400000US36005031800,"Census Tract 318, Bronx County, New York",78769300,19499947
1400000US36005031900,"Census Tract 319, Bronx County, New York", ,**
