CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"277.06","5",Staten Island,"027706","5027706",,New Springville-Willowbrook-Bulls Head-Travis,SI0204,SI02,SI02 Mid-Island (CD 2 Approximation),"36085027706","4502",9395.46847645000,4718053.38829999976,Staten Island,"36085027706","3043",1400000US36085027706,"Census Tract 277.06, Richmond County, New York","125351300","22933493"
"279","5",Staten Island,"027900","5027900",,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,SI0203,SI02,SI02 Mid-Island (CD 2 Approximation),"36085027900","4502",36459.31128390000,58236964.55629999936,Staten Island,"36085027900","2110",1400000US36085027900,"Census Tract 279, Richmond County, New York","119543400","28915335"
"291.02","5",Staten Island,"029102","5029102",,New Springville-Willowbrook-Bulls Head-Travis,SI0204,SI02,SI02 Mid-Island (CD 2 Approximation),"36085029102","4502",58785.70003440000,106257776.43299999833,Staten Island,"36085029102","3394",1400000US36085029102,"Census Tract 291.02, Richmond County, New York","140577900","48903587"
"291.05","5",Staten Island,"029105","5029105",,New Springville-Willowbrook-Bulls Head-Travis,SI0204,SI02,SI02 Mid-Island (CD 2 Approximation),"36085029105","4502",18276.29858620000,17331554.81439999864,Staten Island,"36085029105","4257",1400000US36085029105,"Census Tract 291.05, Richmond County, New York","201748700","44771124"
"303.01","5",Staten Island,"030301","5030301",,Mariner's Harbor-Arlington-Graniteville,SI0107,SI01,SI01 North Shore (CD 1 Equivalent),"36085030301","4501",18471.95266340000,7766659.73646000028,Staten Island,"36085030301","5130",1400000US36085030301,"Census Tract 303.01, Richmond County, New York","244569700","55515551"
"303.02","5",Staten Island,"030302","5030302",,Mariner's Harbor-Arlington-Graniteville,SI0107,SI01,SI01 North Shore (CD 1 Equivalent),"36085030302","4501",13923.14132160000,9788180.59296000004,Staten Island,"36085030302","6669",1400000US36085030302,"Census Tract 303.02, Richmond County, New York","206213200","27769410"
"319.02","5",Staten Island,"031902","5031902",,Mariner's Harbor-Arlington-Graniteville,SI0107,SI01,SI01 North Shore (CD 1 Equivalent),"36085031902","4501",18067.51841840000,7019454.76076999959,Staten Island,"36085031902","5500",1400000US36085031902,"Census Tract 319.02, Richmond County, New York","158190000","32899313"
"9901","5",Staten Island,"990100","5990100",,Hoffman & Swinburne Islands,SI9591,SI95,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),"36085990100","4502",4743.12812675000,635701.96758299996,Staten Island,"36085990100","0",1400000US36085990100,"Census Tract 9901, Richmond County, New York",,
"2","3",Brooklyn,"000200","3000200",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047000200","4307",9075.28512120000,2952085.24731000001,Brooklyn,"36047000200","1205",1400000US36047000200,"Census Tract 2, Kings County, New York","29565700","8183024"
"15.01","3",Brooklyn,"001501","3001501",,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047001501","4302",6693.22494391000,1776324.90445000003,Brooklyn,"36047001501","5161",1400000US36047001501,"Census Tract 15.01, Kings County, New York","274725700","54803382"
"18.02","3",Brooklyn,"001802","3001802",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047001802","4307",17353.14075530000,6395102.65077999979,Brooklyn,"36047001802","6",1400000US36047001802,"Census Tract 18.02, Kings County, New York",,
"18.03","3",Brooklyn,"001803","3001803",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047001803","4307",29212.38435880000,6887216.97453000024,Brooklyn,"36047001803","16",1400000US36047001803,"Census Tract 18.03, Kings County, New York",,
"18.04","3",Brooklyn,"001804","3001804",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047001804","4307",11940.61831520000,3642808.85312000010,Brooklyn,"36047001804","0",1400000US36047001804,"Census Tract 18.04, Kings County, New York",,
"20","3",Brooklyn,"002000","3002000",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047002000","4307",5426.03966786000,1620781.08440999989,Brooklyn,"36047002000","1694",1400000US36047002000,"Census Tract 20, Kings County, New York","45480800","30292471"
"23","3",Brooklyn,"002300","3002300",,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047002300","4302",6287.87389786000,1961474.10345999990,Brooklyn,"36047002300","3940",1400000US36047002300,"Census Tract 23, Kings County, New York","52487500","14007580"
